#At  time  x  allocated  y  bytes  for   process  z  from  i  to  j
At time 9 allocated 256 bytes for process 1 from 0 to 255
At time 13 allocated 128 bytes for process 2 from 256 to 383
At time 23 allocated 16 bytes for process 3 from 384 to 399
At time 23 freed 256 bytes from proccess 1 from 0 to 255
At time 31 allocated 128 bytes for process 4 from 0 to 127
At time 32 allocated 32 bytes for process 5 from 416 to 447
At time 33 allocated 128 bytes for process 6 from 128 to 255
At time 33 freed 16 bytes from proccess 3 from 384 to 399
At time 39 freed 128 bytes from proccess 4 from 0 to 127
At time 41 allocated 256 bytes for process 7 from 512 to 767
At time 43 allocated 128 bytes for process 8 from 0 to 127
At time 43 allocated 128 bytes for process 9 from 768 to 895
At time 45 freed 128 bytes from proccess 9 from 768 to 895
At time 49 allocated 16 bytes for process 10 from 384 to 399
At time 50 allocated 64 bytes for process 11 from 448 to 511
At time 53 allocated 128 bytes for process 12 from 768 to 895
At time 54 freed 128 bytes from proccess 12 from 768 to 895
At time 55 allocated 128 bytes for process 13 from 768 to 895
At time 59 freed 64 bytes from proccess 11 from 448 to 511
At time 68 allocated 128 bytes for process 15 from 896 to 1023
At time 72 freed 128 bytes from proccess 6 from 128 to 255
At time 77 freed 128 bytes from proccess 15 from 896 to 1023
At time 78 allocated 128 bytes for process 16 from 128 to 255
At time 80 allocated 128 bytes for process 17 from 896 to 1023
At time 89 freed 128 bytes from proccess 16 from 128 to 255
At time 103 allocated 128 bytes for process 21 from 128 to 255
At time 111 freed 128 bytes from proccess 2 from 256 to 383
At time 111 allocated 128 bytes for process 23 from 256 to 383
At time 120 allocated 16 bytes for process 26 from 400 to 415
At time 120 freed 16 bytes from proccess 26 from 400 to 415
At time 129 freed 128 bytes from proccess 23 from 256 to 383
At time 136 allocated 64 bytes for process 28 from 448 to 511
At time 142 freed 64 bytes from proccess 28 from 448 to 511
At time 146 allocated 32 bytes for process 29 from 448 to 479
At time 153 freed 32 bytes from proccess 29 from 448 to 479
At time 155 allocated 64 bytes for process 30 from 448 to 511
At time 165 freed 128 bytes from proccess 13 from 768 to 895
At time 177 allocated 64 bytes for process 33 from 256 to 319
At time 181 freed 64 bytes from proccess 33 from 256 to 319
At time 184 allocated 64 bytes for process 34 from 256 to 319
At time 189 allocated 128 bytes for process 35 from 768 to 895
At time 189 freed 64 bytes from proccess 30 from 448 to 511
At time 199 allocated 16 bytes for process 37 from 400 to 415
At time 202 freed 128 bytes from proccess 35 from 768 to 895
At time 207 allocated 128 bytes for process 40 from 768 to 895
At time 214 freed 16 bytes from proccess 37 from 400 to 415
At time 217 allocated 64 bytes for process 41 from 320 to 383
At time 222 freed 128 bytes from proccess 40 from 768 to 895
At time 231 allocated 128 bytes for process 43 from 768 to 895
At time 231 freed 128 bytes from proccess 43 from 768 to 895
At time 234 freed 64 bytes from proccess 41 from 320 to 383
At time 238 allocated 16 bytes for process 44 from 400 to 415
At time 242 allocated 128 bytes for process 45 from 768 to 895
At time 250 freed 16 bytes from proccess 44 from 400 to 415
At time 255 allocated 4 bytes for process 47 from 400 to 403
At time 261 freed 128 bytes from proccess 45 from 768 to 895
At time 280 allocated 16 bytes for process 52 from 320 to 335
At time 280 freed 64 bytes from proccess 34 from 256 to 319
At time 288 allocated 16 bytes for process 53 from 336 to 351
At time 293 freed 16 bytes from proccess 52 from 320 to 335
At time 295 allocated 64 bytes for process 54 from 256 to 319
At time 303 allocated 128 bytes for process 55 from 768 to 895
At time 303 freed 16 bytes from proccess 53 from 336 to 351
At time 316 freed 128 bytes from proccess 55 from 768 to 895
At time 316 allocated 128 bytes for process 57 from 768 to 895
At time 326 freed 128 bytes from proccess 57 from 768 to 895
At time 326 allocated 128 bytes for process 56 from 768 to 895
At time 332 allocated 64 bytes for process 60 from 320 to 383
At time 338 allocated 32 bytes for process 62 from 448 to 479
At time 339 freed 128 bytes from proccess 56 from 768 to 895
At time 342 freed 32 bytes from proccess 62 from 448 to 479
At time 345 allocated 64 bytes for process 64 from 448 to 511
At time 350 freed 64 bytes from proccess 60 from 320 to 383
At time 355 allocated 32 bytes for process 65 from 320 to 351
At time 357 freed 32 bytes from proccess 65 from 320 to 351
At time 362 allocated 128 bytes for process 68 from 768 to 895
At time 366 freed 64 bytes from proccess 64 from 448 to 511
At time 381 freed 128 bytes from proccess 68 from 768 to 895
At time 381 allocated 128 bytes for process 70 from 768 to 895
At time 397 freed 128 bytes from proccess 70 from 768 to 895
At time 397 allocated 128 bytes for process 75 from 768 to 895
At time 402 allocated 64 bytes for process 76 from 320 to 383
At time 407 freed 128 bytes from proccess 75 from 768 to 895
At time 407 allocated 128 bytes for process 74 from 768 to 895
At time 414 allocated 64 bytes for process 78 from 448 to 511
At time 422 freed 64 bytes from proccess 76 from 320 to 383
At time 432 freed 64 bytes from proccess 78 from 448 to 511
At time 433 allocated 1 bytes for process 83 from 404 to 404
At time 439 allocated 64 bytes for process 84 from 320 to 383
At time 441 freed 64 bytes from proccess 84 from 320 to 383
