=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 64 | 127 ] -> [NULL]
(7), size -> (1) : < 128 > [ 128 | 255 ] -> [NULL]
(8), size -> (3) : < 256 > [ 256 | 511 ] -> [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 8 <ALLOCATTING> , with memory size = 832.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 64 | 127 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (3) : < 256 > [ 256 | 511 ] -> [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 10 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 0 | 127 ] -> [NULL]
(8), size -> (3) : < 256 > [ 256 | 511 ] -> [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 17 <ALLOCATTING> , with memory size = 768.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (3) : < 256 > [ 256 | 511 ] -> [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 24 <ALLOCATTING> , with memory size = 640.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (2) : < 256 > [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 24 <ALLOCATTING> , with memory size = 512.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (2) : < 256 > [ 512 | 767 ] -> [ 768 | 1023 ] -> [NULL]
=> snapshot time : 29 <ALLOCATTING> , with memory size = 384.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 35 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (2) : < 128 > [ 128 | 255 ] -> [ 640 | 767 ] -> [NULL]
(8), size -> (1) : < 256 > [ 768 | 1023 ] -> [NULL]
=> snapshot time : 35 <ALLOCATTING> , with memory size = 256.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (2) : < 128 > [ 128 | 255 ] -> [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 42 <ALLOCATTING> , with memory size = 192.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 192 | 255 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 47 <ALLOCATTING> , with memory size = 64.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 192 | 255 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 56 <ALLOCATTING> , with memory size = 0.
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 58 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (0) : 
(2), size -> (0) : 
(3), size -> (0) : 
(4), size -> (0) : 
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
