#At  time  x  process  y  state  arr  w  total  z  remain  y  wait  k
At  time  2  process  1  started  arr  2  total  24  remain  24  wait  0
At  time  8  process  1  stopped  arr  2  total  24  remain  18  wait  0
At  time  8  process  2  started  arr  7  total  22  remain  22  wait  1
At  time  11  process  2  stopped  arr  7  total  22  remain  19  wait  1
At  time  11  process  3  started  arr  8  total  4  remain  4  wait  3
At  time  14  process  3  stopped  arr  8  total  4  remain  1  wait  3
At  time  14  process  1  resumed  arr  2  total  24  remain  18  wait  6
At  time  17  process  1  stopped  arr  2  total  24  remain  15  wait  6
At  time  17  process  2  resumed  arr  7  total  22  remain  19  wait  7
At  time  20  process  2  stopped  arr  7  total  22  remain  16  wait  7
At  time  20  process  3  resumed  arr  8  total  4  remain  1  wait  9
At  time  21  process  3  finished  arr  8  total  4  remain  0  wait  9  TA  13  WTA  3.250000
At  time  21  process  1  resumed  arr  2  total  24  remain  15  wait  10
At  time  24  process  1  stopped  arr  2  total  24  remain  12  wait  10
At  time  24  process  2  resumed  arr  7  total  22  remain  16  wait  11
At  time  27  process  2  stopped  arr  7  total  22  remain  13  wait  11
At  time  27  process  1  resumed  arr  2  total  24  remain  12  wait  13
At  time  30  process  1  stopped  arr  2  total  24  remain  9  wait  13
At  time  30  process  2  resumed  arr  7  total  22  remain  13  wait  14
At  time  33  process  2  stopped  arr  7  total  22  remain  10  wait  14
At  time  33  process  1  resumed  arr  2  total  24  remain  9  wait  16
At  time  36  process  1  stopped  arr  2  total  24  remain  6  wait  16
At  time  36  process  2  resumed  arr  7  total  22  remain  10  wait  17
At  time  39  process  2  stopped  arr  7  total  22  remain  7  wait  17
At  time  39  process  1  resumed  arr  2  total  24  remain  6  wait  19
At  time  42  process  1  stopped  arr  2  total  24  remain  3  wait  19
At  time  42  process  2  resumed  arr  7  total  22  remain  7  wait  20
At  time  45  process  2  stopped  arr  7  total  22  remain  4  wait  20
At  time  45  process  1  resumed  arr  2  total  24  remain  3  wait  22
At  time  48  process  1  finished  arr  2  total  24  remain  0  wait  22  TA  46  WTA  1.916667
At  time  48  process  2  resumed  arr  7  total  22  remain  4  wait  23
At  time  52  process  2  finished  arr  7  total  22  remain  0  wait  23  TA  45  WTA  2.045455
